"Package","Class Name","TCC value"
"org.apache.commons.collections4.bag.AbstractBagTest","TestBagUniqueSet","0/55"
"org.apache.commons.collections4.bag.AbstractSortedBagTest","AbstractSortedBagTest","0/45"
"org.apache.commons.collections4.bag.CollectionBagTest","CollectionBagTest","0/15"
"org.apache.commons.collections4.bag.CollectionSortedBagTest","CollectionSortedBagTest","0/36"
"org.apache.commons.collections4.bag.HashBagTest","HashBagTest","0/3"
"org.apache.commons.collections4.bag.PredicatedBagTest","PredicatedBagTest","0/36"
"org.apache.commons.collections4.bag.PredicatedSortedBagTest","PredicatedSortedBagTest","0/28"
"org.apache.commons.collections4.bag.SynchronizedBagTest","SynchronizedBagTest","0/3"
"org.apache.commons.collections4.bag.TransformedBagTest","TransformedBagTest","0/10"
"org.apache.commons.collections4.bag.TransformedSortedBagTest","TransformedSortedBagTest","0/10"
"org.apache.commons.collections4.bag.TreeBagTest","TreeBagTest","0/21"
"org.apache.commons.collections4.bag.UnmodifiableBagTest","UnmodifiableBagTest","0/45"
"org.apache.commons.collections4.bag.UnmodifiableSortedBagTest","UnmodifiableSortedBagTest","0/45"
"org.apache.commons.collections4.BagUtilsTest","BagUtilsTest","2/28"
"org.apache.commons.collections4.bidimap.AbstractBidiMapTest","TestBidiMapIterator","0/28"
